(60b,131b) (fe3,131b)
(6f,d09) (c77,d09)
(907,10d3) (67,10d3)
(283,1457) (119b,1457)
(9df,f89) (c1f,f89)
(be1,19f9) (eb1,19f9)
(3b9,104b) (f89,104b)
(3d3,28a3) (4c3,28a3)
(299,2165) (37d,2165)
(dd,8d7) (335,8d7)
(7b9,14bf) (369,14bf)
(327,18af) (1057,18af)
(ba1,1811) (391,1811)
(24d,53b) (85,53b)
(703,b69) (5a7,b69)
(21b,3ef) (143,3ef)
(b,41) (23,41)
(36d,191f) (c55,191f)
(2b1,30b) (d1,30b)
(3a9,521) (49,521)
(1b1,229) (169,229)
(bc9,1c87) (419,1c87)
(39d,cdd) (295,cdd)
(61,12e9) (69d,12e9)
(97,109) (87,109)
(335,637) (dd,637)
(3b,19f) (8b,19f)
(fb,193) (fb,193)
(7f,96d) (85f,96d)
(2f,2339) (233,2339)
(683,9cb) (233,9cb)
(df,288b) (c1f,288b)
(887,171d) (737,171d)
(2e1,4b7) (c1,4b7)
(2d7,5dd) (40f,5dd)
(34d,ad5) (155,ad5)
(1675,188b) (7ed,188b)
(18cd,23cf) (1c15,23cf)
(18d,1ff) (25,1ff)
(3c1,4df) (169,4df)
(1b79,2bdb) (10f9,2bdb)
(af,18b) (10f,18b)
(2a5,69b) (16d,69b)
(a7b,1747) (93,1747)
(cb,437) (27b,437)
(3,289) (183,289)
(b9,403) (1a9,403)
(2b9,81d) (4bd,81d)
(191,c1f) (3d1,c1f)
(b1d,e63) (57d,e63)
(25,131) (d,131)
(110f,2645) (206f,2645)
(149,499) (1d,499)
(593,124f) (e1b,124f)
(39d,887) (4d5,887)
(88d,bff) (31d,bff)
(2f,14f) (bf,14f)
(2a1,323) (151,323)
(565,1483) (2cd,1483)
(7af,1e83) (1d6f,1e83)
(a55,1765) (cbd,1765)
(3a9,56b) (169,56b)
(e9,263) (161,263)
(38f,81d) (56f,81d)
(dd,439) (39d,439)
(1b9,3d3) (1b9,3d3)
(52f,f1d) (4f,f1d)
(491,53b) (59,53b)
(419,941) (725,941)
(d5,1483) (77d,1483)
(bf9,e63) (8b1,e63)
(3f1,46d) (289,46d)
(1,f61) (1,f61)
(4f,131) (4f,131)
(11b,126d) (713,126d)
(c6b,e05) (743,e05)
(67,2c9) (1e7,2c9)
(16d,229) (d1,229)
(73,16d) (11b,16d)
(6cd,b33) (8ad,b33)
(139,575) (9d,575)
(52f,1cdb) (100f,1cdb)
(27b,a8d) (3b3,a8d)
(727,b41) (43f,b41)
(7,1f9) (157,1f9)
(2cb,817) (4f3,817)
(469,545) (211,545)
(93d,1553) (e1d,1553)
(bbd,13a5) (9b1,13a5)
(bf,4a5) (3df,4a5)
(11f,16d) (11f,16d)
(29,3319) (2249,3319)
(cb3,114d) (b57,114d)
